datum,fullDepo,balance,equity,hozamManual,hozamRobot
2018.10.17 11:07,1056.36,1056.36,1056.36,0.00,0.00
2018.10.19 22:00,1056.36,1056.34,1056.34,0.00,-0.02
2018.10.19 22:00,1056.36,1056.26,1056.26,0.00,-0.10
2018.10.23 02:49,1056.37,1056.27,1056.27,0.00,-0.10
2018.10.23 04:28,1056.40,1056.30,1056.30,0.00,-0.10
2018.10.23 12:18,1056.40,1039.41,1039.41,-16.89,-0.10
2018.10.23 12:18,1056.40,1026.21,1026.21,-30.09,-0.10
2018.10.23 12:18,1056.40,1013.39,1013.39,-42.91,-0.10
2018.10.23 16:04,1056.40,1007.99,1007.99,-48.31,-0.10
2018.10.23 17:05,1056.40,1015.10,1015.10,-48.31,7.01
2018.10.23 18:19,1056.40,1017.05,1017.05,-48.31,8.96
2018.10.24 09:32,1056.40,1014.05,1014.05,-48.31,5.96
2018.10.24 16:36,1056.40,1014.08,1014.08,-48.28,5.96
2018.10.24 18:08,1056.40,1007.28,1007.28,-55.08,5.96
2018.10.24 20:08,1056.40,1014.52,1014.52,-55.08,13.20
2018.10.24 21:27,1056.40,1012.78,1012.78,-55.08,11.46
2018.10.24 21:27,1056.40,1010.99,1010.99,-55.08,9.67
2018.10.24 22:35,1056.40,1018.03,1018.03,-55.08,16.71
2018.10.24 23:01,1056.40,1028.63,1028.63,-55.08,27.31
2018.10.24 23:01,1056.40,1051.19,1051.19,-55.08,49.87
2018.10.25 01:53,1056.40,1051.78,1051.78,-55.08,50.46
2018.10.25 03:00,1056.40,1052.52,1052.52,-55.08,51.20
2018.10.25 10:37,1056.40,1050.88,1050.88,-55.08,49.56
2018.10.25 19:17,1056.40,1044.02,1044.02,-55.08,42.70
2018.10.25 22:44,1056.40,1040.96,1040.96,-55.08,39.64
2018.10.26 14:03,1056.40,1039.71,1039.71,-55.08,38.39
2018.10.26 14:03,1056.40,1038.43,1038.43,-55.08,37.11
2018.10.26 18:01,1056.40,1036.43,1036.43,-55.08,35.11
2018.10.26 18:01,1056.40,1034.40,1034.40,-55.08,33.08
2018.10.26 20:33,1056.40,1031.16,1031.16,-55.08,29.84
2018.10.26 21:04,1056.40,1027.83,1027.83,-55.08,26.51
2018.10.29 16:32,1056.40,1031.68,1031.68,-55.08,30.36
2018.10.29 16:48,1056.40,1028.00,1028.00,-55.08,26.68
2018.10.29 19:02,1056.40,1029.26,1029.26,-55.08,27.94
2018.10.29 19:02,1056.40,1030.37,1030.37,-55.08,29.05
2018.10.29 21:15,1056.40,1037.84,1037.84,-55.08,36.52
